price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket,promotion_check,id,specials
2.19,6.64,tyris marzen cerveza tostada artesana de valencia con malta variedad lager craft botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,tyris,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201802/23/00118603002462____1__325x325.jpg,El Corte Ingles,yes,1154,artesana 
1.23,3.73,burro de sancho cerveza rubia artesana castellana tipo ale filtrada botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,burro de sancho,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201504/14/00118603001118____2__325x325.jpg,El Corte Ingles,yes,1155,artesana 
2.25,6.82,rabiosa cerveza rubia artesana tipo american pale ale de castilla y león botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,rabiosa,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201804/10/00118603002280____2__325x325.jpg,El Corte Ingles,yes,1156,artesana 
2.23,6.76,rabiosa cerveza rubia artesana tipo pilsen de castilla y león botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,rabiosa,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201803/23/00118603002272____1__325x325.jpg,El Corte Ingles,yes,1157,artesana 
2.25,6.82,rabiosa brown cerveza negra artesana de castilla y león botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,rabiosa,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201804/10/00118603002306____2__325x325.jpg,El Corte Ingles,yes,1158,negra artesana 
2.5,7.58,jaira cerveza rubia artesana ipa de canarias botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,jaira,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201705/31/00118603001787____1__40x40.jpg,El Corte Ingles,yes,1159,IPA artesana 
2.42,7.33,forastera another fucking ipa cerveza rubia artesana de mallorca botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,forastera,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201804/16/00118603001704____2__40x40.jpg,El Corte Ingles,yes,1160,IPA artesana 
2.42,7.33,forastera pale ale cerveza rubia artesana de mallorca botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,forastera,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201804/16/00118603001720____2__40x40.jpg,El Corte Ingles,yes,1161,artesana 
2.54,7.7,la cibeles cerveza rubia elaborada de forma tradicional con agua de madrid botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,cibeles,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201603/23/00118603000292____1__40x40.jpg,El Corte Ingles,yes,1162,others
2.54,7.7,la cibeles cerveza rubia india pale ale dry hopping elaborada tradicionalmente con agua de madrid botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,cibeles,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201909/24/00118603000318____1__40x40.jpg,El Corte Ingles,yes,1163,others
2.54,7.7,la cibeles cerveza rubia de trigo elaborada de forma tradicional con agua de madrid botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,cibeles,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201909/24/00118603000300____1__40x40.jpg,El Corte Ingles,yes,1164,others
1.92,5.82,mulhacen blonde cerveza rubia artesana de granada botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,mulhacen,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201803/22/00118603002330____1__325x325.jpg,El Corte Ingles,yes,1165,artesana 
1.92,5.82,mulhacen cerveza rubia artesana irish red ale de granada botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,mulhacen,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201803/22/00118603002348____6__325x325.jpg,El Corte Ingles,yes,1166,artesana 
3.7,9.87,"founders cerveza rubia artesana tipo ipa botella 35,50 cl ",25% Bonificación por compras superiores a 10 € para tu próxima compra,founders,botella,"35,50 cl",1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201710/24/00118603001944____1__325x325.jpg,El Corte Ingles,yes,1167,IPA artesana 
3.36,10.03,"founders dirty bastard cerveza artesana tostada ahumada de estados unidos botella 35,50 cl ",25% Bonificación por compras superiores a 10 € para tu próxima compra,founders,botella,"35,50 cl",1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201804/04/00118603001928____2__325x325.jpg,El Corte Ingles,yes,1168,artesana 
3.52,10.51,"founders all day ipa session ale cerveza rubia artesana tipo ipa botella 33,50 cl ",25% Bonificación por compras superiores a 10 € para tu próxima compra,founders,botella,"33,50 cl",1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202007/14/00118603001910____1__325x325.jpg,El Corte Ingles,yes,1169,IPA artesana 
3.32,2.21,la salve lager auténtica cerveza rubia de bilbao pack 6 botellas 25 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,la salve,botella,25 cl,6,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201805/29/00118602800882____4__325x325.jpg,El Corte Ingles,yes,1170,others
1.87,5.67,la salve munich cerveza rubia de bilbao botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,la salve,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201601/26/00118603001324____1__325x325.jpg,El Corte Ingles,yes,1171,others
1.48,4.48,la salve lager auténtica cerveza rubia de bilbao botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,la salve,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201601/26/00118603001332____1__325x325.jpg,El Corte Ingles,yes,1172,others
2.05,6.21,gredos cerveza rubia artesana de ávila botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,gredos,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201501/22/00118603001068____1__40x40.jpg,El Corte Ingles,yes,1173,artesana 
2.17,6.58,ballut extremeña y natural cerveza rubia artesana botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,ballut,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201502/03/00118603000185____1__40x40.jpg,El Corte Ingles,yes,1174,artesana 
1.9,5.76,ballut zaina cerveza negra extremeña botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,ballut,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201501/27/00118603001100____1__40x40.jpg,El Corte Ingles,yes,1175,negra 
2.24,6.79,ballut jacha jigo jiguera cerveza rubia extremeña botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,ballut,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201501/27/00118603001092____1__40x40.jpg,El Corte Ingles,yes,1176,others
1.57,4.76,madri chulapo pilsner cerveza rubia artesana de madrid botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,madrí chulapo,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201801/11/00118603002728____2__40x40.jpg,El Corte Ingles,yes,1177,artesana 
