price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket,id
0.31,0.94,Cerveza Carrefour Shandy con limón lata 33 cl.,No promotion,carrefour shandy,lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/943882_00_1.jpg,Carrefour,36
7.02,1.77,Cerveza Alhambra Lager especial pack de 12 latas de 33 cl.,No promotion,alhambra especial,lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/718540_00_1.jpg,Carrefour,37
0.96,1.92,Cerveza Heineken Lager lata 50 cl.,No promotion,heineken,lata,50 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/035423_00_1.jpg,Carrefour,38
6.7,2.23,Cerveza Heineken Lager pack de 12 botellas de 25 cl.,Feliz Aniversario,heineken,botella,25 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/672150_00_1.jpg,Carrefour,39
1.08,2.16,Cerveza Franziskaner Dunkel alemana de trigo botella 50 cl.,No promotion,franziskaner,botella,50 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/660345_00_1.jpg,Carrefour,40
2.05,1.37,Cerveza Mahou Sin alcohol pack de 6 botellas de 25 cl.,No promotion,"mahou sin alcohol 0,0%",botella,25 cl,6,https://static.carrefour.es/hd_280x_/img_pim_food/000166_00_1.jpg,Carrefour,41
6.44,1.63,Cerveza Mahou Sin alcohol pack de 12 latas de 33 cl.,No promotion,"mahou sin alcohol 0,0%",lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/760654_00_1.jpg,Carrefour,42
0.6,1.82,"Cerveza San Miguel 0,0 radler con limón lata 33 cl.",No promotion,"san miguel radler sin alcohol 0,0%",lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/196826_00_1.jpg,Carrefour,43
0.27,0.82,Cerveza Carrefour sin alcohol lata 33 cl.,No promotion,"carrefour sin alcohol 0,0%",lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/045339_00_1.jpg,Carrefour,44
6.85,1.73,"Cerveza Amstel 0,0 sin alcohol Radler con limón pack de 12 latas de 33 cl.",No promotion,"amstel radler sin alcohol 0,0%",lata,33 cl,12,https://static.carrefour.es/hd_280x_/img_pim_food/203607_00_1.jpg,Carrefour,45
14.56,1.58,Cerveza San Miguel especial Lager pack de 28 latas de 33 cl.,No promotion,san miguel,lata,33 cl,28,https://static.carrefour.es/hd_280x_/img_pim_food/718561_00_1.jpg,Carrefour,46
1.04,3.15,Cerveza Desperados sabor tequila botella 33 cl.,No promotion,desperado,botella,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/028778_00_1.jpg,Carrefour,47
3.59,2.39,"Cerveza Heineken Lager 0,0 sin alcohol pack de 6 botellas de 25 cl.",No promotion,"heineken sin alcohol 0,0%",botella,25 cl,6,https://static.carrefour.es/hd_280x_/img_pim_food/201552_00_1.jpg,Carrefour,48
0.72,2.18,Cerveza 1906 Reserva Especial lata 33 cl.,No promotion,estrella galicia 1906,lata,33 cl,1,https://static.carrefour.es/hd_280x_/img_pim_food/569004_00_1.jpg,Carrefour,49
